method,method_label,device_name,stem,gt_mud,final_prediction,final_correct,candidate_count,gt_rank,gt_worst_rank,gt_tied_count,gt_total_score,gt_mean_score,top_device_from_scores,top_total_score,top_mean_score
semantic_w256,ACE-level MaxSim,LiFXBulb,LiFXBulb_d073d5018308__semantic,lifxbulbMud_compact,lifxbulbMud_compact,True,28,1,1,1,37292.4140625,0.74584828125,lifxbulbMud_compact,37292.4140625,0.74584828125
semantic_w256,ACE-level MaxSim,NestDropCam,NestDropCam_308cfb2fe4b2__semantic,dropcamMud_compact,dropcamMud_compact,True,28,1,1,1,1085.396484375,0.5200749805342597,dropcamMud_compact,1085.396484375,0.5200749805342597
semantic_w256,ACE-level MaxSim,NestProtect,NestProtect_18b43025bee4__semantic,nestsmokesensorMud_compact,nestsmokesensorMud_compact,True,28,1,1,1,13384.7470703125,0.26769494140625,nestsmokesensorMud_compact,13384.7470703125,0.26769494140625
semantic_w256,ACE-level MaxSim,NetatmoWeatherStation,NetatmoWeatherStation_70ee5003b8ac__semantic,NetatmoWeatherStationMud_compact,NetatmoWeatherStationMud_compact,True,28,1,1,1,18490.689453125,0.3698137890625,NetatmoWeatherStationMud_compact,18490.689453125,0.3698137890625
semantic_w256,ACE-level MaxSim,NetatmoWelcome,NetatmoWelcome_70ee50183443__semantic,NetatmoCameraMud_compact,NetatmoCameraMud_compact,True,28,1,1,1,41771.9921875,0.83543984375,NetatmoCameraMud_compact,41771.9921875,0.83543984375
semantic_w256,ACE-level MaxSim,PhilipsHue,PhilipsHue_0017882b9a25__semantic,HueBulbMud_compact,HueBulbMud_compact,True,28,1,1,1,39259.7109375,0.78519421875,HueBulbMud_compact,39259.7109375,0.78519421875
semantic_w256,ACE-level MaxSim,PixStarPhotoFrame,PixStarPhotoFrame_e076d033bb85__semantic,pixstarphotoframeMud_compact,pixstarphotoframeMud_compact,True,28,1,1,1,3972.639892578125,0.3692044509830971,pixstarphotoframeMud_compact,3972.639892578125,0.3692044509830971
semantic_w256,ACE-level MaxSim,RingDoorBell,RingDoorBell_884aea31669d__semantic,ringdoorbellMud_compact,ringdoorbellMud_compact,True,28,1,1,1,324.4373779296875,0.29494307084517046,ringdoorbellMud_compact,324.4373779296875,0.29494307084517046
semantic_w256,ACE-level MaxSim,SamsungCamera,SamsungCamera_00166cab6b88__semantic,samsungsmartcamMud_compact,samsungsmartcamMud_compact,True,28,1,1,1,28114.783203125,0.5622956640625,samsungsmartcamMud_compact,28114.783203125,0.5622956640625
semantic_w256,ACE-level MaxSim,SamsungSmartThings,SamsungSmartThings_d052a800675e__semantic,SmartThingsMud_compact,SmartThingsMud_compact,True,28,1,1,1,22139.619140625,0.516135193860007,SmartThingsMud_compact,22139.619140625,0.516135193860007
semantic_w256,ACE-level MaxSim,TPLinkCamera,TPLinkCamera_f4f26D9351f1__semantic,tplinkcameraMud_compact,tplinkcameraMud_compact,True,28,1,1,1,10324.86328125,0.5344962096210591,tplinkcameraMud_compact,10324.86328125,0.5344962096210591
semantic_w256,ACE-level MaxSim,TPLinkSmartPlug,TPLinkSmartPlug_50c7bf005639__semantic,tplinkplugMud_compact,tplinkplugMud_compact,True,28,1,1,1,11452.6279296875,0.8941078873985089,tplinkplugMud_compact,11452.6279296875,0.8941078873985089
semantic_w256,ACE-level MaxSim,TribySpeaker,TribySpeaker_18B79E022044__semantic,tribyspeakerMud_compact,tribyspeakerMud_compact,True,28,1,1,1,28968.1015625,0.57936203125,tribyspeakerMud_compact,28968.1015625,0.57936203125
semantic_w256,ACE-level MaxSim,WithingsBabyMonitor,WithingsBabyMonitor_0024e41118a8__semantic,withingsbabymonitorMud_compact,withingsbabymonitorMud_compact,True,28,1,1,1,6382.73046875,0.567909108350387,withingsbabymonitorMud_compact,6382.73046875,0.567909108350387
semantic_w256,ACE-level MaxSim,WithingsSleepSensor,WithingsSleepSensor_0024e42028c6__semantic,withingssleepsensorMud_compact,withingssleepsensorMud_compact,True,28,1,1,1,22253.16796875,0.5400336828390807,withingssleepsensorMud_compact,22253.16796875,0.5400336828390807
semantic_w256,ACE-level MaxSim,WithingsSmartScale,WithingsSmartScale_0024e41b6f96__semantic,withingscardioMud_compact,withingssleepsensorMud_compact,False,28,7,7,1,232.17050170898438,0.18152502088270867,withingssleepsensorMud_compact,429.90576171875,0.3361264751514855
semantic_w256,ACE-level MaxSim,iHome,iHome_74c63b29d71d__semantic,ihomepowerplugMud_compact,ihomepowerplugMud_compact,True,28,1,1,1,49638.80859375,0.992776171875,ihomepowerplugMud_compact,49638.80859375,0.992776171875
